Unnamed: 0,Unnamed: 1
 ,รายละเอียด
2 มี.ค. 2569,กทม.  กรมส่งเสริมอุตสาหกรรม  ครุภัณฑ์ชำรุด  จำนวน  94  รายการ
,กทม.  ม.รามคำแหง  พัสดุชำรุด  จำนวน  103  รายการ
,กทม.  มศว.  พัสดุชำรุด  จำนวน  106  รายการ
,กทม.  สนง.บังคับคดี  ทรัพย์  จำนวน  37  รายการ
,เชียงราย  สนง.สรรพากรพื้นที่  พัสดุชำรุด  จำนวน  189  รายการ
,เชียงใหม่  กฟภ.สันกำแพง  ทรัพย์สิน  จำนวน  13  รายการ
,เชียงใหม่  ทต.ดอยแก้ว  ต้นไม้บนที่ดินราชพัสดุ  จำนวน  29  ต้น
,นราธิวาส  โครงการชลประทาน  ยานพาหนะ  ครุภัณฑ์ชำรุด  จำนวน  4  รายการ
,พะเยา  สนง.พลังงาน  ยานพาหนะ  จำนวน  1  รายการ
,เพชรบูรณ์  รพ.เพชรบูรณ์  พัสดุชำรุด  จำนวน  585  รายการ
,แพร่  ทม.แพร่  ยานพาหนะ  จำนวน  4  รายการ  (เปลี่ยนแปลงวัน)
,ศรีสะเกษ  โครงการส่งน้ำและบำรุงรักษามูลล่าง  ยานพาหนะ  จำนวน  2  รายการ
,"สงขลา  รพ.สงขลา  พัสดุชำรุด  จำนวน  2,077  รายการ"
,สิงห์บุรี  สนง.ปศุสัตว์  ยานพาหนะ  จำนวน  2  รายการ
,สุราษฎร์ธานี  ทต.วัดประดู่  ยานพาหนะ  พัสดุชำรุด  จำนวน  125  รายการ
3 มี.ค. 2569,พังงา  แขวงทางหลวง  ครุภัณฑ์ชำรุด  จำนวน  38  รายการ  วัสดุชำรุด  จำนวน  35  รายการ
,มหาสารคาม  รพ.นาเชือก  พัสดุชำรุด  จำนวน  602  รายการ
,ระยอง  กฟภ.ปลวกแดง  หม้อแปลงชำรุด  จำนวน  2  เครื่อง
,ลำพูน  กฟภ.ลี้  หม้อแปลงชำรุด  จำนวน  8  รายการ
4 มี.ค. 2569,กทม.  กรมทรัพยากรน้ำบาดาล  พัสดุชำรุด  จำนวน  26  รายการ
